comment,label,topic,comment_hierarchy,comment_count,topic_distribution,sarcasm_rate,comment_frequency,reply_ratio
男宝急了,1,情感,1,55,情感,0.15,1.83,0.89
别拉黑啊我都不急你怎么还急着拉黑呢,1,情感,1,52,生活,0.13,1.73,0.88
你要不重新去看看法律对偷拍的定义？你以为你是杰尼斯吗？,1,社会,1,122,社会,0.52,4.07,0.83
你出门披上蒙脸黑袍不就行了吗？,1,情感,1,114,社会,0.51,3.8,0.83
人都不配当医生更不配,1,社会,1,130,文娱,0.54,4.33,0.81
你赶紧换装回国拯救同胞以一敌百,1,时政,1,75,文娱,0.8,2.5,0.81
是不是准备发疯，加我一个,0,文娱,1,27,时政,0.22,0.9,0.81
成都找工作太难了，更别说不敢轻易辞职，各种负担。现在连自己的时间都没有更别说提升自我了，哎。我只求少加点班就行了,0,社会,1,92,生活,0.15,3.07,0.8
俺没抢到呜呜呜,0,文娱,1,89,情感,0.17,2.97,0.8
以色列也杀过中国人，不提是吧？,0,时政,1,44,社会,0.09,1.47,0.8
平时伪装的挺好的吧,1,情感,1,195,情感,0.51,6.5,0.79
再提一嘴，他这个道歉信不应该把这件事说清楚吗？工作人员带什么样的牌子，他都不聊的？就说一句你看那老外带牌子了，会场人人都到牌子。,1,社会,1,101,情感,0.41,3.37,0.79
是的呀~,0,生活,1,94,情感,0.16,3.13,0.79
以色列从来都是反守反击，你咋不说五次中东战争都是巴勒斯坦联合阿拉伯邪教国家发起的,1,时政,1,202,时政,0.53,6.73,0.78
宁好会自我介绍，知道宁这乱吠,1,情感,1,120,文娱,0.45,4,0.77
啊对对对你们被骂的时候别吭声呗,1,社会,1,75,文娱,0.67,2.5,0.77
那你觉得怎么办？只能等死？,1,社会,1,31,文娱,0.74,1.03,0.77
以色列能出明星，巴勒斯坦只能出难民，你说谁更可怜,0,时政,1,78,社会,0.64,2.6,0.76
是啊，不过你评论底下一堆破防男性宝,1,情感,1,51,社会,0.69,1.7,0.76
是的，只有你见过软卧，你眼见开阔，看到男人就觉得他在qj你，笑死！你跟你爸不能在一个房间吧，不然你会觉得你家在luanl吧,1,社会,1,42,情感,0.67,1.4,0.76
你自己看看老人的死因，除颤仪确实起不到作用,0,社会,1,53,社会,0.7,1.77,0.75
建议你看看微博编辑记录，再看看你发的话，笑死了,1,情感,1,28,社会,0.68,0.93,0.75
选择性报道,1,时政,1,149,社会,0.46,4.97,0.74
有没有可能这叫做瀑布哥哥,0,文娱,1,125,时政,0.17,4.17,0.74
多沙女宝解决问题,1,社会,1,138,社会,0.48,4.6,0.73
你自己看看你回复的话嘛,1,情感,1,99,情感,0.62,3.3,0.73
得问广大女拳啊……我们只是反击,1,社会,1,22,社会,0.68,0.73,0.73
特别好,0,文娱,1,121,社会,0.17,4.03,0.72
可能真的是性别原因,0,情感,1,118,社会,0.31,3.93,0.72
嗯嗯，天下女拳都是男的装的，就你女宝最无辜了，下头,1,情感,1,104,时政,0.39,3.47,0.72
ni的意思死了十个人不值得关心？真牛逼，还真从来没有一次看到过，会把责任归咎到普通民众自救意识弱？,1,社会,1,97,社会,0.61,3.23,0.72
听说你是跪着吃的,1,情感,1,124,情感,0.43,4.13,0.71
川普自己女婿就是犹太人，他第一时间压上兵力也会帮着屠城,0,时政,1,122,文娱,0.18,4.07,0.71
被爆的好几个都是女的，头发那么长少说都能追溯个好几年。,1,社会,1,84,社会,0.74,2.8,0.71
哇喔！我现在去搜搜看,0,社会,1,70,文娱,0.09,2.33,0.71
讲半天你连自己讲了什么都不知道，你自己看看最初你讲的是氯气还是氧气吧,1,生活,1,145,情感,0.28,4.83,0.7
本来就是公共场所，啥都得依着她，不依她就开始吵闹说不公平，这种人去那里都是事精,1,社会,1,87,文娱,0.62,2.9,0.7
农夫与蛇,0,时政,1,77,情感,0.08,2.57,0.7
哇塞，能从一番话就说别人是杏驽，怕被吞还特意换别的字发出来，大家快来看呀，这就是中国男人哦,1,情感,1,54,社会,0.7,1.8,0.69
你自己看看你在说什么,1,社会,1,62,情感,0.76,2.07,0.68
那么下面请解释一下叫保安粗暴赶走直播小姐姐的事儿吧。那时候横的可没见有一点儿道歉的样子呀,1,社会,1,127,情感,0.26,4.23,0.67
你也开打逆风局了不是,1,情感,1,43,情感,0.91,1.43,0.67
你好帅,0,文娱,1,9,文娱,0.11,0.3,0.67
彼此彼此，你也可以靠你这无中生有挑拨是非的本事试着让你的思政老师也给你退点儿钱,1,社会,1,109,社会,0.31,3.63,0.66
这种人命的事还一口一个打拳格局也就这么点了吧,1,社会,1,61,社会,0.75,2.03,0.66
谁养鱼先买鱼再养水啊？谁？不是博主吗？您看了半天看了个寂寞啊,1,生活,1,107,文娱,0.42,3.57,0.65
这句话送给你们这种喜欢扣带节奏50万帽子的人不最合适？,1,时政,1,37,社会,0.9,1.23,0.65
啥呗男逆风照样打团，咋的，这里就不行了吗？太解气了太解气了。,1,社会,1,136,生活,0.25,4.53,0.64
不还钱也不能侮辱人。借钱本来就有收不回的风险,0,社会,1,11,文娱,0.09,0.37,0.64
可笑的是连证据都没有的澄清，不是另一种造谣吗？,1,社会,1,77,生活,0.91,2.57,0.62
打起来急眼了，什么日内瓦公约乱七八糟的条款人道主义精神全都不存在，要么死，要么活,0,时政,1,36,社会,0.17,1.2,0.61
希望我挨骂的时候你也能帮我这么说话,1,社会,1,28,时政,0.93,0.93,0.61
你这智商还是别来上网了，字都看不清楚,1,社会,1,58,社会,0.74,1.93,0.6
看一下死亡原因吧就是需要aed可惜原博被和谐了,0,社会,1,7,社会,0.29,0.23,0.57
别说这个啊！所以还是请示上级最实际。,0,时政,1,112,文娱,0.11,3.73,0.54
jt太单纯了,0,文娱,1,104,情感,0.13,3.47,0.53
很多人在慢慢醒来，东方睡狮要觉醒了。,0,社会,1,111,文娱,0.11,3.7,0.5
我记错了，我刚去看来占地3.97平方公里,0,生活,1,8,情感,0.25,0.27,0.5
门徒是真神作,0,社会,1,113,文娱,0.23,3.77,0.49
同情是有，但落后就要挨打，这是我们这个民族近两百年来血的教训，尊严只在剑锋直上，真理只在大炮的射程之内,0,时政,1,25,生活,0.16,0.83,0.48
只有这一家医院吗？,0,社会,1,21,文娱,0.19,0.7,0.48
我真是太幸运了,0,文娱,1,116,时政,0.22,3.87,0.47
公司年会在成都玩，坐地铁都听到有人说花花，去成都基地看熊猫时，车上的导游会特别介绍花花，然后让我们不用去看，其他猫猫也很可爱，因为要排队怕耽误行程,0,生活,1,114,生活,0.25,3.8,0.46
那跟他有什么关系？,0,社会,1,22,文娱,0.18,0.73,0.45
图书馆或者上网自己查一查，随便翻开一本有关妇科类疾病的书，里面都有关于情绪相关的类目，可以说在妇科类疾病里情绪不好是病理之一算常识了,0,情感,1,117,社会,0.27,3.9,0.44
这个一点儿道理都没有,0,社会,1,14,社会,0.71,0.47,0.43
不知道把耶路撒冷炸了会怎么样。,0,时政,1,81,社会,0.88,2.7,0.42
哈哈哈哈哈哥为啥你第三张照片那么糊啊你没发原图吗,0,文娱,1,24,文娱,0.17,0.8,0.42
虽然听不见，但是看得见你的评论噻,0,文娱,1,19,社会,0.53,0.63,0.42
卖高铁卫生巾跳脚的也都是男的,1,社会,1,64,文娱,0.73,2.13,0.41
姐姐，我是个路人，但我被你圈粉了，你很勇敢，你不是一个人，你身后站的是千千万万的女同胞以及有良知的男同胞,0,文娱,1,17,文娱,0.71,0.57,0.41
赶紧换，哈哈哈哈哈哈哈哈哈，帅飒酷的甜妹,0,文娱,1,15,社会,0.67,0.5,0.4
肯定是男的出轨！！不然好好的这女人怎么会杀人？她肯定是老实人被逼急了！,1,情感,1,104,情感,0.72,3.47,0.39
说话和小学生一样,1,情感,1,83,生活,0.89,2.77,0.39
你这算盘打的我在山西都听见了,0,文娱,1,19,社会,0.68,0.63,0.37
去找啊，别在这空口说白话，评论区能带图。虽然你藏头露尾连大号都不用，微博也没歧视你不给带图。,1,社会,1,113,文娱,0.1,3.77,0.35
担心你口袋先吧，下一顿在哪再说,1,社会,1,72,文娱,0.68,2.4,0.34
又开始虚空索敌喽,1,时政,1,143,时政,0.95,4.77,0.33
你说的都对。,1,社会,1,46,文娱,0.92,1.53,0.33
所以为啥会互骂呀？发生了什么,0,情感,1,83,社会,0.67,2.77,0.3
急了急了…我知道你很急,1,情感,1,50,情感,0.96,1.67,0.3
哥帅惨了,0,文娱,1,31,生活,0.77,1.03,0.29
主持人一直在问有什么办法，但说了一大堆话，概括下来，就是没办法，只能法律谴责，且短期内没办法追究日本的责任，食品安全也没办法保证。,0,时政,1,135,时政,0.33,4.5,0.27
哈哈哈哈男厕所你也敢捅到马蜂窝了吧,1,情感,1,66,社会,0.77,2.2,0.27
建议编辑亲身体验一下,1,社会,1,41,情感,0.73,1.37,0.27
难说,0,社会,1,33,社会,0.73,1.1,0.27
标题是yxh取的和周六野有什么关系,0,文娱,1,76,文娱,0.25,2.53,0.26
以色列全民皆兵，哪有妇女儿童,0,时政,1,35,情感,0.74,1.17,0.26
唐口好多卖的,0,社会,1,34,情感,0.74,1.13,0.26
开始这件事就是农村斗殴打死人，并不是什么恶霸欺负村民。从个人情感上我能理解他，但是毕竟是杀了两个人，也不好去称赞这种行为。,0,社会,1,71,社会,0.27,2.37,0.25
总结下她的大概意思: 以色列人得命是命，而巴勒斯坦人的命不是命。,0,时政,1,59,时政,0.42,1.97,0.22
联合国天天谴责奈何主流媒体都是西方把控阿拉伯世界发声量太小,0,时政,1,56,情感,0.43,1.87,0.21
当场豹笑了吗？,1,生活,1,56,社会,0.71,1.87,0.2
六个多小时了，你的证据呢,1,社会,1,103,生活,0.63,3.43,0.18
我回的是那人说的高利贷,0,社会,1,66,社会,0.45,2.2,0.18
啊，我希望我只是简单的小问题，我还打算过几天去拍个片子看看,0,生活,1,48,情感,0.4,1.6,0.17
一个女生进男浴室，只要浴室里的人不是全员残疾，随便上来两个人都能把人抓到吧，屁证据没有，连老师名字都没曝光出来，放个不知道哪里来的录音就搁这儿虚空索敌。看看前段时间高校女生怎么维权的吧，从涉事男生到包庇老师的专业班级姓名全都写得清清楚楚。,1,社会,1,168,生活,0.69,5.6,0.14
那也不用让别人包容体谅了，大家都一样,0,情感,1,63,文娱,0.51,2.1,0.14
看看停机坪,1,情感,1,23,文娱,0.78,0.77,0.13
看新闻要看完整的全貌，你去找找，家属怎么说的，家属是什么情况，救护车上的病人都说借东西了，说明车上的病人不着急或者死不了，官方都说不妥了，你这跳什么高,1,社会,1,160,社会,0.67,5.33,0.12
没事你们会洗,1,时政,1,26,情感,0.81,0.87,0.12
今天快被淋死了，还没结束就发烧了十年终于在西安看了你的专属演唱会，哭泣。,0,文娱,0,28,文娱,0.21,0.93,0.89
魔鬼,0,时政,0,26,时政,0.19,0.87,0.85
啥时候回家啥时候回家啥时候回家,0,文娱,0,41,文娱,0.1,1.37,0.83
看得出来你很喜欢这件蓝色皮衣了,0,文娱,0,29,社会,0.21,0.97,0.83
楠楠也喜欢花吗！,0,文娱,0,28,情感,0.21,0.93,0.82
欧美媒体告诉你 以色列先打电话通知要炸你,1,时政,0,152,时政,0.36,5.07,0.81
码是不是太薄了,0,社会,0,91,情感,0.15,3.03,0.81
早知今日何必当初,0,时政,0,42,文娱,0.12,1.4,0.81
计量单位都用上吨了缉毒英雄平安顺利！,0,社会,0,37,文娱,0.14,1.23,0.78
下次再来,0,文娱,0,126,时政,0.19,4.2,0.75
科技改变世界,0,时政,0,91,社会,0.14,3.03,0.75
自己人都不敢待在周边还好意思说没什么危害，真是表子里牌坊又当又立,1,时政,0,20,文娱,0.7,0.67,0.75
老公！！,0,文娱,0,72,社会,0.08,2.4,0.74
这在港片里都是很罕见的,0,社会,0,124,社会,0.16,4.13,0.73
媒体你们做好防护呀,0,时政,0,69,时政,0.09,2.3,0.72
架不住睁眼瞎,1,时政,0,95,社会,0.61,3.17,0.71
这就是屠城吧？！,0,时政,0,72,文娱,0.07,2.4,0.71
自己都知道附近撤离然后现在祸害整个世界？,1,时政,0,45,文娱,0.73,1.5,0.71
这个量是不是可以枪毙一分钟那种？,0,社会,0,10,时政,0.1,0.33,0.7
所以各种热搜都搞的是以色列被害一样 渣浪也很恶心,1,时政,0,95,社会,0.79,3.17,0.69
苍天……虽然艰难但我们总会生活在一个人身安全有保障的国度,0,时政,0,32,时政,0.16,1.07,0.69
棒棒棒,0,社会,0,44,时政,0.11,1.47,0.68
给我回来广州重新唱！,0,文娱,0,28,文娱,0.14,0.93,0.68
人类文明的进步,0,时政,0,12,社会,0.08,0.4,0.67
西方之前在南联盟、阿富汗、伊拉克不都是这么干的？一脉相承,1,时政,0,121,社会,0.23,4.03,0.64
忙了一天，就想见到你,0,文娱,0,39,文娱,0.15,1.3,0.64
“正义联盟”在崩溃，神奇女侠，你还是去漫威宇宙混一混吧,1,时政,0,25,时政,0.72,0.83,0.64
可怜可悲，西方人被洗脑的连历史都不了解,0,时政,0,11,社会,0.09,0.37,0.64
俄罗斯要是战争开始就这样轰炸乌克兰战争结果会是什么样子的？,0,时政,0,147,社会,0.52,4.9,0.63
美国的经济命脉掌握在犹太人手里，犹太人为以色列发声太正常不过了。,0,时政,0,38,文娱,0.13,1.27,0.63
日更博主哇哇招人稀罕,0,文娱,0,35,文娱,0.14,1.17,0.6
你支持以色列可以，毕竟你是以色列人，但你不能让我也支持以色列，跟我有什么关系,0,时政,0,9,社会,0.22,0.3,0.56
这辐射量…总台记者去一趟都该报工伤,0,时政,0,107,社会,0.12,3.57,0.54
生活不论好与坏，每天都是限量版,0,文娱,0,109,社会,0.13,3.63,0.52
地球可以没有日本，但是绝对不能没有海洋,0,时政,0,108,文娱,0.12,3.6,0.51
下回我还来,0,文娱,0,8,生活,0.25,0.27,0.5
偷拍就是不对的，无论男女，报警处理,0,社会,0,6,社会,0.33,0.2,0.5
哥快跟嫂子报备一下现场太热了可以脱背心吗,0,文娱,0,119,社会,0.24,3.97,0.44
希望以后都是好事情,0,时政,0,23,社会,0.17,0.77,0.43
这是对平民下手，以色列犹太人这么王八,0,时政,0,24,情感,0.54,0.8,0.42
致敬缉毒警！,0,社会,0,20,社会,0.5,0.67,0.4
世界正面临多重危机和挑战,0,时政,0,18,社会,0.67,0.6,0.39
这可是成都啊！居然让他们加班,1,社会,0,80,情感,0.65,2.67,0.38
好喜欢好喜欢好喜欢,0,文娱,0,21,时政,0.52,0.7,0.38
太帅了哥,0,文娱,0,16,文娱,0.69,0.53,0.38
咱就是说，这个封面搞得还怪好的，李宇春看到了也要给你点个赞,0,文娱,0,127,文娱,0.27,4.23,0.35
真的！现场炸裂！,0,文娱,0,81,情感,0.65,2.7,0.35
我今天就不要脸的期待一下章哥会不会翻到我,0,文娱,0,23,文娱,0.57,0.77,0.35
哥，我其实想看唱跳版,0,文娱,0,134,社会,0.3,4.47,0.33
中国的伟大复兴指日可待,0,时政,0,86,社会,0.7,2.87,0.33
支持加朵，绿就是癌,0,时政,0,84,社会,0.68,2.8,0.32
弱者是没有话语权的。,0,时政,0,128,时政,0.28,4.27,0.31
啥时候唱跳一起来,0,文娱,0,88,生活,0.72,2.93,0.31
帅哦！,0,文娱,0,131,时政,0.31,4.37,0.29
全新的一整套服装好好看呐，肉眼可见确实热的有在喷泉,0,文娱,0,34,社会,0.76,1.13,0.29
哇呜呜呜好帅,0,文娱,0,74,文娱,0.24,2.47,0.28
这不是屠城？什么人道人权在哪里？川普说的没错，他在的话，这些还真不会发生。,0,时政,0,79,文娱,0.23,2.63,0.27
偷拍就是不对啊？难道纵容这种行为？,1,社会,0,111,社会,0.6,3.7,0.25
大哥的绿皮肤真的太绝了！,0,文娱,0,78,时政,0.26,2.6,0.24
支持巴勒斯坦没问题。但是支持哈马斯这个恐怖组织我是没想到的,0,时政,0,57,社会,0.44,1.9,0.23
没人不能理解孩子哭，但有些家长就觉得孩子就该哭，别人就该忍着！坐飞机遇到哭的孩子，家长非常着急，这种情况没有人会说什么，因为大家看到了家长的努力！,0,社会,0,102,社会,0.62,3.4,0.22
好性感,0,文娱,0,78,时政,0.26,2.6,0.22
叙利亚和巴勒斯坦妇女儿童也是人以色列打别人怎么没人谴责。,0,时政,0,48,社会,0.71,1.6,0.21
加油巴勒斯坦,0,时政,0,54,情感,0.41,1.8,0.2
可以参考这次梅奔的强实名退票程序,0,文娱,0,68,情感,0.46,2.27,0.19
愿：核污水回流日本，然后发生海啸地震,0,时政,0,59,时政,0.47,1.97,0.19
一带一路，共商共享共建,0,时政,0,51,社会,0.35,1.7,0.18
支持以色列的人是不是该支持俄罗斯？让乌克兰情何以堪,0,时政,0,64,文娱,0.47,2.13,0.17
AI正在加速渗透各行各业,0,时政,0,61,情感,0.49,2.03,0.16
日本人是怎么做到，一代比一代坏，坏的如此的精准,0,时政,0,52,时政,0.38,1.73,0.15
科学技术是第一生产力,0,时政,0,49,社会,0.37,1.63,0.14
科技兴国,0,时政,0,51,文娱,0.39,1.7,0.12
30年想问问世界少一个岛影响会很大吗？,1,时政,0,90,社会,0.64,3,0.06
